Geosite Name,Coordinates,Location Description,Type of Geosite,Mention Context
Paper Title,Recognition of Shyok Ophiolites of NW Ladakh Trans-Himalaya as a Geoheritage- Importance to Himalayan Orogeny and Remnant of Tethyan Oceanic Lithosphere,,,
Shyok Ophiolite Belt,"34.8515, 77.9251","Trans-Himalaya region of NW Ladakh, along Shyok River",Ophiolite complex / Tectonic-metamorphic unit,"The Shyok Suture Zone exposes one of the best-preserved ophiolitic sequences in the Indian Himalaya, representing remnants of the Tethys Ocean crust."
Diskit–Tegger–Hunder–Partapur–Turtuk section,Not explicitly given,"Road transect in Nubra Valley, Ladakh",Geological transect / Stratigraphic section,"The route from Diskit to Turtuk traverses key lithologies of the Shyok ophiolite, showcasing pillow basalts, gabbros, and tectonic mélanges."
Hunder area,"34.6205, 77.4571","Nubra Valley, NW Ladakh",Pillow basalt exposure / Volcanic rock,"Excellent exposures of pillow basalts are seen in the Hunder area, indicating submarine volcanic activity of the Tethyan oceanic lithosphere."
Tegger,"34.7000, 77.6000","Between Diskit and Partapur, Nubra Valley",Serpentinite and gabbro exposures,Tegger shows exposures of serpentinized mantle rocks and gabbros that form part of the ophiolitic sequence.
Bukdang–Turtuk area,"34.8198, 76.8652","Near India-Pakistan border, Baltistan tectonic corridor",Metamorphic basement / Tectonic contact zone,The Bukdang–Turtuk area marks the transition from ophiolitic rocks to the Indian continental margin with tectonic mélanges and metamorphic rocks.
Paper Title,Ladakh Himalayan Ophiolites (LHO)- A Geological Heritage of Northwestern India,,,
Ladakh Himalayan Ophiolites (LHO),"34.8, 77.9 (approx)","Found in Shyok Suture Zone (SSZ), NW Himalaya, Ladakh",Ophiolite belt (ultramafic to volcanic rocks),The LHO represents remnants of the oceanic lithosphere formed at divergent plate boundaries and later obducted during the India-Asia collision.
Surmo Mélange,Not specified,"Between Hunder and Turtuk, Nubra Valley",Mélange zone with block-in-matrix structures,"The Surmo mélange exposes large tectonic blocks of basalt, radiolarian chert, and ultramafic rocks within a sheared matrix."
Bukdang–Turtuk Section,"34.8198, 76.8652",Near India-Pakistan border,Ophiolitic fragments and tectonic contacts,The ophiolite exposures between Bukdang and Turtuk are significant for studying the suture zone evolution.
Diskit–Partapur Section,Not specified,"Nubra Valley, Ladakh",Ophiolite sequence (ultramafic–gabbro–basalt),"The area shows a near-complete sequence of an ophiolite from mantle to crustal rocks, critical for understanding tectonic stacking."
Tegger and Hunder Areas,"34.7000, 77.6000 (Tegger)34.6205, 77.4571 (Hunder)",Nubra Valley,"Pillow basalts, sheeted dykes, ultramafic exposures",Both locations exhibit well-developed pillow basalt structures and sheeted dykes—key indicators of ocean floor spreading.
Paper Title,"Geological Features of Northwestern Himalaya, Ladakh, India-- Geosites and Their Significance in the Ladakh Himalaya",,,
Lamayuru Formation,"34.2833, 76.7680","Near Lamayuru village, Leh district",Flysch unit with fossil-rich black shales,"Lamayuru is known for its fossiliferous marine sediments, representing deep-water flysch facies of the Indus Basin."
Chilling–Sumdo–Zanskar Gorge,"33.8415, 77.5546",Zanskar Gorge region along the Indus River,Tectonically active zone with Zanskar shear zone,"This region exposes the Zanskar shear zone and the Main Central Thrust (MCT), revealing tectonic processes of the Himalaya."
